,label,text_a
269,0,粗糙脸用完哐哐哐滴水！
155,1,真?香到外婆家一口一块肉是什么神仙意面  被多方面种草的空刻意面！
369,1,今天就给姐妹们安利我的宝藏沐浴露  妙芙谜富勒烯清爽鎏光沐浴露  -  春夏交替是我们皮肤最最敏感的时候！
6,0,用完之后滑溜溜到抓都抓不住么～  之前毛躁到用梳子梳都hin多死结  现在用手作梳一梳到底诶！
205,0,而且它非常的清爽，不会油腻厚重，所以个人感觉所有肤质都能轻松hold住的哦~
211,0,刷酸三年我才知道它！？
194,0,快点快点  惊喜盒子
33,0,春天来了！
2,1,对R]作为精致的JUJU女孩  对于颜值这一块是灰常在意的  尤其是随时随地都要拿出来补妆的气垫BB霜  最近安排了这款十分she华的气垫，拿出来补妆都都觉得hin高级
99,0,吃下这波安利不亏
324,0,这样的甜头，你也来尝尝吧！
233,0,因为是针不戳哇！
249,0,特别适合我这种圆润的梨形身材！
175,0,?
168,0,支付宝海淘攻略｜新春巨惠折上折?  爱海淘的姐妹们在哪！
82,1,泰妆真的可！
261,1,前段时间发现了一款超好用的美妆蛋了，不仅上妆省时省力还巨服帖，所以想要安利给大家就是too cool for school恐龙蛋。
291,0,听说这个盒子出惊喜盒子几率超大！
323,0,而且，至少在我和我的室友身上，是能感受到效率提升带来的甜头的！
104,0,店铺分享（1）/30r內平价餐具！
230,0,这两玩意可都控油炒的  基本像我这种早上八点多出门，晚上八点多回家的人  妆容还是没什么出油斑驳的！
37,0,开了！
301,0,kkkk好久没画绿色？
218,0,绝绝子?  之前真的又气又无奈！
142,0,我感觉它的质地就肥肠的适合我  是那种清爽而不粘腻的 流动的蛋清质感  对于我这种混油皮真是满满的友好！
327,0,作为一个常年干燥的沙漠大干皮?  之前用过很多补水类 但肤感和效果总是差一点  但这个不一样！！
382,1,请一定不要忘记换你的眉毛的颜色，不然会很突兀的，这个睫毛膏是可以让眉毛有着野生眉感觉得，zozo染色头发了，所以用的是deep brown的深褐色，这个是适合偏棕色的发色的，如果是其他颜色的，可以用他们家的fixer色，这个是无颜色的半透明质地的染眉膏。
376,0,气质温柔如何get给你手把手的教程  -  ?♂?温柔的妆容的诀窍就是要妆容整体的色系偏暖??，用色比较偏大地色系，不要跳色或者色差很大的颜色。
20,0,这个用一周多就会明显感觉皮肤彭起来，而且会滑滑嫩嫩的。
253,1,糖果盒眼影！
294,1,情人节礼物|飒到骨子里的木质香  我是一个特别喜欢收藏香水的人  气味往往是情感的代名词  最近入手了一款小众香——冰希黎艺术家系列  我最喜欢的是这个系列的“无人之境”  -  内心平静如水 情绪波澜不惊  就是这瓶“无人之境”带给我的感受  属于比较清冷香的那一挂  闻腻了甜甜的少女香水 一定会被这款“无人之境”惊艳到  是冰希黎联手法国新锐艺术家蕾娜.
156,0,买回来了！
222,0,真的不是啥普通玩意！
360,0,枕头包不配它吃没灵魂啊！！
258,1,打造完美服帖底妆，我有涂酷恐龙蛋！
320,0,关于这个产品，安全性肯定是第一要考虑的因素啦！
374,1,每次用都被男朋友夸爆  妙芙谜富勒烯沐浴露
315,1,猛男蛋糕｜毕奇：我不是人，但你是真的  狗哥生日本来是想定好利来的布朗熊  意外发现有泡泡马特联名  好像是四款，每一个都好可爱，不过还是感觉粉色更适合猛男[萌萌哒R]  毕奇、小房子、草莓都是巧克力，口感挺不错的  可能是我没冷藏奶油太软了... 很不好切，口味啥毛病没有！！！
247,1,?欧莱雅小金管  麦色滤全波段防晒黑防晒老  白色的乳液质地也hin轻盈  涂抹后吸收快 用后清爽不油腻  个人感觉气味香香的 有丢丢大  按压嘴也方便使用 就是瓶子容量有点小  我这样的大脸不到一个月就空瓶  荷包承受不住哇~[捂脸R]  .
85,0,（被称为干皮救星真的没有错了）
128,1,那种又黑又粗的腋毛都能脱得一干二净  配套的修护精华乳别忘了涂，这个玩意挺牛的  说是可以延缓毛发生长，起初我还不信  就当作保湿修护乳涂涂  结果好像真的毛毛生长的变慢了？！
223,0,不卖关子拉！来分享我的持久控油滴秘诀吧  -  容易出油的肤质，建议基础水乳一定选择清爽型！
201,0,好清爽的蓝绿色 是夏天的感觉没错啦！
188,0,每晚都想宠幸它  母胎黑的我，想要米白错了吗？
19,1,紧塑焕白霜：  我用的是柔滑乳霜质地，平时当晚霜用，第二天早上起来皮肤两颊会变亮一些。
277,1,除了这支别的都是草莓南瓜砂糖橘口味的水晶硬糖色素颜?！
23,0,浅浅的清冷感觉～十分吸引人！
236,0,分享美丽
44,0,1秒get柔雾妆  [
236,0,也有红调！
177,1,失望R]  别着急，干皮补水罐-德美乐嘉草本修护面膜缓解干燥烦恼，守护肌肤水润嘭弹～  ?  感谢@憨娜本憨 小仙女的使用分享！
339,0,浴室里的高颜值洗护，不仅给心情加分丰盈发丝也给我的造型加分了不少呀～  洗发水测评
276,0,上脸的肤感很细腻  没有稠稠的厚重感！
298,1,戴口罩不闷痘  真滴太喜欢BOBBI BROWN 家滴产品了 彩妆类的心头爱  过年前就入了BOBBI BROWN 羽柔持妆粉底液  带回去过新年真是对了！
56,0,坚持使用牙齿会[
164,0,在家做的有模有样还挺像这么回事～  肉多的别家意面都要哭泣吧！
388,0,只有18cm，放在包里绰绰有余，收纳简单，温度是恒定的，不会撕扯头发，陶瓷釉材质，不损伤，用它造型下来好看~仙女本
224,1,才0.1这一次性唇刷谁发明的？
282,0,抗老神器小众冻干精华！
268,0,补水大王真绝！！
282,0,除了冰川水，还加了很少有的深海水相当于一次把细胞的水分up！！！
205,0,经期暖心呵护丨温熏暖宫一整周！
278,0,水润状态出奇的好！！
345,0,深唇需要打底厚涂！
24,0,是属于越闻越爱的类型！
40,0,人间富贵！
131,0,??  啦啦啦没想到吧！
379,0,自然的睫毛让眼睛放大，而不是塔拉的感觉，让整体的眼睛圆润柔和。
230,1,显白不得不服  偏甜主义的唇釉！
115,0,我给跪！！
108,1,滑到没朋友  之前一直用科颜氏家的护肤品  逛时刷到了他们家的身体乳  我属于离不开身体乳的干燥少女哈哈哈  每次洗完澡如果不涂身体乳的话  第二天胳膊腿可以脱一层皮了  正好平时用的身体乳用完了就入手啦～
370,0,干燥，起皮是常有的事，妙芙谜针对的是保湿嫩肤，修复皮肤屏障，还可以再在皮肤上形成锁水层，用过之后简直是为我量身定做滴！
84,0,～～～  持妆能力的话，感觉一天下来，只有鼻子两翼稍稍岀油，整体很棒了，一整天也没有卡  粉卡纹的情况出现，干皮姐妹真的可以入！
69,0,姐妹们！！！
217,0,脸上出油大户全赖它“控制住”！
364,0,全身嫩到发光~
204,0,等到肌肤吸收后，能明显感觉到皮肤变得水润柔嫩，尤其当你肌肤干燥到紧绷的时候，涂上它就有一种在沙漠中喝饱了水一样的感觉。
216,1,啫喱果冻质地里包裹着数不清的大马士革玫瑰花瓣  用指尖轻轻推开，玫瑰的淡淡清香迎面扑来  闭上眼感受一场玫瑰spa  10分钟洗掉，能感受到实打实的补水保湿了  小脸蛋就像是刚出炉的白鸡蛋  新鲜Q弹水当当  谁看了不想rua一下[哇R]  清清爽爽的0负担  夏天有了这瓶“玫瑰酱”  被太阳晒到了也不怕喽[派对R]
248,0,??喜欢穿一字肩的集美，一定要pick它，因为它是可以锻炼直角肩的，勤快点还能练薄背呐！
3,0,~  这款气垫不仅外观高级，就连内部的粉扑设计也很精致！
96,0,头发变得有蓬松感~  发梢摸起来很舒服 柔顺有光泽  香味也很棒  洗完的头发男朋友都舍不得放手！
169,1,快看过来～  最近支付宝上线海淘业务啦  不仅价格很优惠  而且还方便  里面各种小众品牌or大牌奢侈品  通通都能买到！
297,0,完全不会给肌肤带来负担的精华  洗完脸后水乳前使用  质地清透延展性好  很好推开，吸收很快，不油不腻  摸起来脸nunnun的像鸡蛋一样 弹弹的呢  修复了受损的肌肤屏障 镇定保湿  看上去肤色也变白变亮了  -  重点是后续的护肤也不会搓泥  痘痘肌也可以用，不会闷痘哒
270,0,省去了很多繁琐的化妆步骤呢。
9,1,对R]  底妆丨护肤丨精致底妆丨气垫丨气垫BB丨我的日常护肤丨好物推荐丨好物分享
312,0,平时码字时戴上，能隔音降噪  沉浸在自己的小世界中，其他皆与我无关  平均4-5天充一次电，续航能力也不赖  舒适，自在，又让我充满安全感  在喧嚣的都市，也能拥有安心一隅
83,0,秒变立体脸！
62,0,求求求求你们！！！
43,1,我一般都会用理肤泉的B5家族来修护  就是B5面膜?B5修护霜  它们真的可以说的1+1＞2的神仙组合了  ·  ??理肤泉B5面膜  膜布亲肤柔软 敷在脸上hin酥胡  它里面含有修复力敲厉害的--
246,1,?兰蔻小白管  较高端属于养肤类型的防晒霜  有点润白肤色的效果  淡色的柔滑乳液质地 有一丢丢粘稠  成膜速度一般 滋润效果不错  适合偏干的皮肤?♀?  混油皮的我用有点泛着油光  而且跟底妆在一起偶尔会搓泥  新版目前我还没试过  不知道会不会清爽一些  .
14,0,热水冰水都！
105,0,每次洗完后都觉得自己的头发好柔顺，梳头发完全不会出现打结的情况。
349,0,意大利牙科医师协会认证品牌  护龈效果好而且针对牙齿敏感  泡沫比较少  膏体是正常的薄荷气息味儿  这个牙膏成分还是很安全的  无氟防蛀 孕妇儿童都能用  而且特别适合像我这种牙齿敏感的人用  刷牙完毕后洁净感不错  用了一段时间后牙齿敏感症状有明显改善  使用效果这种东西是比较循序渐进的  需要每天坚持使用滴~  没有使用过的人还是可以试一下！
304,1,秃头少女逆袭｜Roye紫苏焕活修护精华  今年我常挂嘴边的一句话就是  感觉我头发快掉光了  每天扫地都能扫出一堆头发  自从我意识到我快秃后?才对头皮的护理重视起来  在洗护方面选择适合自己的洗护产品  其实洗发水和护发素养护只是短暂养护发丝  重点养护还是在头皮  我现在每天洗完头先用梳子梳理头发  然后再用Roye紫苏焕活修护精华  他家这款精华简直就是我这样受损发的再生父母  这款护发精华湿发和干发都可以用?直接滴在头皮上?然后用指腹轻轻的按摩到吸收?可以在头发比较稀疏的发际线和发缝儿位置重点按mo一下  非常tui荐你们去入手这只紫苏焕活修护精华  感受下它超棒的使用感
289,0,有木有！
0,1,今日穿搭｜亮色系西装｜韩风甜酷出街穿搭  穿惯了百搭的黑白色系  这次尝试了一下亮色系的西装  吼吼看??????  有点韩国小姐姐那味儿了  再搭配墨镜?  大型方形镜框实在太修饰脸型了超显脸小  轻轻松松戴出气场    西装｜韩火火  墨镜｜sojos @SOJOS
225,1,基础护肤后，就是zui重要的尔木萄薄荷控油隔离拉！
55,0,期待宝子们的真香[旺柴]
145,0,又到了万物复苏的时候。
262,0,效果还算不错，而且很温和的那种，没有刺激感，对敏感肌真的很友好了！
163,0,?开春牛已关照，大礼每人一套：一首喜庆曲调，一段幸福论调，一脸喜悦保票，一把理财金钥，一片祥云笼罩，一轮洪福高照。
277,0,相反里面的冰川水  一抹就化开 像把脸浸在冰水里hin酥服~  前段时间皮肤干到爆皮 我用它直接厚敷都不油腻！
397,0,[偷笑R]  一颗的量可以厚敷全脸  还包括脖子！量足足的  上脸软软的超舒服  敷完整个脸就是透亮！
141,0,睫毛教程/仙子毛睫毛永远滴神！
260,0,美妆蛋的选择也是有讲究的，如果是不好的美妆蛋不仅会吃粉，还会让妆容变得斑驳哟。
390,0,干敏皮在线表白！
78,0,像我这种小胸也不_会空杯!
69,0,张嘴能看到牙齿肉眼可见的变白了  口红上嘴好像也好看了许多！
26,1,-  另外它还能叠加其他香水?  让原香水更加独特！
96,0,我觉得它就是受损发救星！
346,0,不然略带老气
38,0,怎么滴也要安排起来！
161,0,即使我们相隔万里，也不会抵消我对你的祝愿和思念。
272,0,不要因为夏天怕厚重就不敢用补水面霜  只要选对轻薄型的 粗糙脸也能哐哐嫩出水~~~  划重点！！
287,0,.
18,1,好吧，所以叫美白乳液也是可以的，不算太忽悠。
103,1,闻起来还是爱马仕同款少女香，让人心神愉悦~
296,0,麝香
291,1,它每一组分成  724胶原紧致冻干絮+724冻干精华液  制作过程是先把精华挤入冻干絮粉中  让他们彻底融合后～又把合成后的精华液倒回小白瓶  就这样～一瓶营养满满的浓缩精华液就生成中！
41,0,————  质地真的敲轻薄，而且很丝滑！
259,1,近日好物|湿敷水，眼影，防晒，水杯！
121,1,太香了  之前入的她家唇泥用完了，  出了新色俺忍不住也入了两只～嘿嘿  质地会比其他唇泥润些，所以不会挑嘴巴状态  算是我所有唇泥中涂的醉多的勒  莫兰迪色系管体真的可！
42,0,护肤好物 | 常年回购的神仙组合 烂脸不再怕  因为脸上长年备受闭口的困扰  所以针清+刷酸成了护肤上必不可少的部分  但是针清之后会有留下一些小伤口  弄不好可能会留疤[哭惹R]  刷酸脸又容易泛红、起皮  所以修护就尤为重要啦～
327,0,[害羞R][害羞R]  我用下来觉得还不错 如果你们恋人间有类似需求可以试试这个～[偷笑R]  来自 @一雯白 甜蜜分享哟[飞吻R]  小情侣的
307,0,康康今天的幸运鹅是不是你，恭喜名单上500 位北鼻，速速来领取你的防晒霜小样吧！
55,1,爱喝奶茶的姐妹们要注意了  天天喝奶茶可乐牙齿越来越黄  涂再好看的口红也没用??  给人的印象分一下子就拉下来了...  为了让我的[斜眼R]牙齿重新变白  我入了介个高露洁白牙小灯管  也就是欧洲火爆的高露洁无水酵素牙膏  我是被ins上的小姐姐种草的  当时看她说介个牙膏5天就能见效！
150,0,产品和具体手法都在图上啦～还有什么不懂评论区可滴滴！
108,0,浪姐们的冷白皮秘?密被扒了！
130,0,欧美风女孩眼妆不重样！
241,0,??  一直一身肥肉养膘的我，终于向下定决心减脂减重了。
178,0,银耳精粹  这个补完水的同时紧紧地锁住水  用着脸蛋好像快可以捏出水了都[萌萌哒R][萌萌哒
202,1,这个马蹄遮瑕刷球球你们试试！
287,0,?
32,0,我们的皮肤除了日常保养以外  也要注意定时清洁皮肤哦～
67,0,防晒力也没啥可以说的  毕竟用它这么久也么有出现被晒黑的情况  关键是阔以边“养”肤  反正用着用着皮肤嫩滑了些  我还是挺满意呢！
143,0,用在脸上也是满当当的滋润感～  这段时间搭配按摩手法用  脸部真的紧致了hin多～  而且法令纹也淡了些  真滴太让人心动啦
333,1,所以你们如果也决定开始尝试OI系列的话，记得要坚持！
229,1,最后把后续的彩妆上完，整个炒控油的妆容就搞定啦  -  可别小看这尔木萄隔离和菁华乳！
213,0,我其实一直脸上就有些闭口  上大学之后更是作息不规律 那些闭口一直消不掉  脸坑坑洼洼 特别难看我那时候像是“病急乱投医”  听人家说什么刷酸换脸！
316,0,推荐！！！
334,0,.
186,0,“Wild Child”
199,1,毕竟我手握AHC B5底气晶瓶，让我拥有熬夜的底气！
187,1,天超市x来伊份：大大大加量超长鸭脖  像长颈鹿一样的鸭脖，你见过吗？
209,0,如果都是差不多我还是是建议试试这种中草药的，卫生有保障的品牌  还能缓解不适  一举两得！
146,0,桃花朵朵开，画个桃花软妹妆约小伙伴去赏桃花吧～
129,1,你们可以看我手臂  长出来的毛毛看着都比以前稀疏一些  呜呜 我太喜欢这个脱毛膏了  一定要来分享给各位猕猴桃女孩！！
285,1,指路冰川面霜brandfree海外旗舰店～～领?还有mai1?
83,0,真的是很方便了，防嗮遮暇二合一，用起来方便又省心！
302,0,口红叠叠乐爱好者发现个新玩具！
47,1,可怜R]  妆效一点都不持久  直到我尝试起尔木萄散粉才发现！
1,0,开春涂起来  这一批是一些比较奶了吧唧的灰咖系的  有几支有红调的也是很稳的那种  都不会出错
116,0,亲测巨干净不留黑点！！
318,0,情侣甜蜜暴击全糖分日常互动分享  在日常生活中，给彼此创造点儿舒适的感觉，在彼此感觉疲劳的时候多增加一些小互动，且要有灵魂要有心思经营关系～  [害羞R][害
172,0,反正我不喜欢  反正都是配??的 总的来说害行！
68,0,这可随随便便的就可以甩所谓“进口”的几条街了  难道这样的国货，它不香吗？？？
152,0,除夕快乐！！！
60,0,谁说国货不崛？
68,0,我坚持用了一周吧！
246,0,有旋钮，直接调整就可以，我这种器材小白也能妥妥上手！
56,1,莹莹子的年度爱用好物分享｜小眼睛看过来～  今天就来给你们分享一下我给的年度爱用护肤品 就是这款ELEMIS海洋胶原霜和玫珂菲散粉~
392,0,我晕我晕！！
299,1,这瓶银耳精华真的是敏感肌救星  拯救敏感肌
90,0,如何让头发看起来也充满活力?
130,0,脱毛好物分享
206,0,真的很喜欢这种清爽状态下皮肤依旧水润的状态。
245,1,??椭圆机具有多重模式，24档阻力，模拟了跑步、骑行、登山、滑雪等等，就感觉有了这一台省心了许多呢。
296,1,疯狂安利|敏感肌急救用这瓶银耳精华就够啦  敏感肌就是风一吹  脸颊就开始泛红  卸完妆洗完脸  脸上就开始起皮干燥 起红血丝  都想把镜子砸碎碎，哭唧唧  -  最近在美丽修行上做了点功课  给大家安利这款宝藏  Deeponde 银耳导入原液精华 Origin 100  里面含有银耳提取物  安全分5.0+，成分天然安全  ?防腐剂?刺激成分  -  和其他精华不一样  浓缩10倍的精华液高浓度  抗氧化能力up！
46,1,书籍分享10/知易行难
228,1,紧接着，取尔木萄菁华乳（是一个套盒里配的）  少量，一点点就好，薄薄一层拍在T区，鼻头两侧易出油的地方！
7,0,真的诶！
225,0,难怪化妆师都爱  买了100支…
311,0,复古绿的造型，简约高级  让我联想到雨林的声音  3D立体环绕音质  或是雨滴，或是雷声，或是一些摩擦的声响  都能听得清晰  .
204,1,建议人手一支松毯晕染刷 晕不开眼影来找我  眼影试色
105,0,吃个饭也要可可爱爱  这家餐具好可爱哦[doge]  每天吃个饭都香喷喷  基本30米以内就能拿下！
160,0,?新的一年，牛年祝你温柔  ?浓浓的情意，深深的祝福，绵绵怀念，切切问候。
398,0,熬夜发黄的问题不见了！
166,0,?牛年赠你一棵愿望树，结满开心果，幸运梅，富贵枣，温馨李，幸福桃、美满梨，兴旺菊，快乐糖，吉祥花！
112,0,和我一起是不是多晚都不算晚  日常碎片3.
350,0,牙膏
4,1,谁能想到这个可可爱爱的小绿丸  就是发质救急神器呢！
27,0,并且加深层次感！
111,0,单独包装携带也方便～[
243,0,用之前记得摇一摇啊~
255,1,哭了  60r现在 1? 送1?  给我冲了好吗  库库韩社眼影太香了我的天  以为是小孩子玩的化妆品  结果真香了！
226,0,12块…
20,0,我更喜欢[害羞R]独特一点的
157,0,牛劲十足！
321,1,而这个Neuriva脑动力已经是有专业的临床试验证明了的，我也亲测没有副作用哦，这点大家可以放心种草嘻嘻~ 它的一瓶里面是一共有30粒的，性价比也很高，值得学生党入手~能够有效的缓解大脑在长时间运作下的紧张和疲惫感，很好的激活学习效率，从而更加高效的复习~
165,0,?带上我的一份心意，送上蓝天，透过空气，伴随着清风，送到你的身边，致意真诚的祝福：身体健康，心想事成，一帆风顺。
91,0,试试它！
186,0,无论是打扑克还是看球都是最佳拍档~
221,0,感觉自己每天早上醒来皮肤都有平滑一点 而且脸也没有红红的  真的是每天每天发现自己细小的变化 特别开心！！
15,1,带去学校被问800回哈哈哈  ps：这杯子装冰水  星星还会变成blingbling黄色  又搞到一个高颜值水杯！
251,0,难怪了！
167,0,@视频薯  @日常薯
367,0,留香！
30,1,我自己经常用的是法国薇婷的脱毛蜡纸
238,0,丝绒哑光滴质地 不干！
70,0,看来认真[萌萌哒R]刷牙还是有用滴！
292,0,快点！
218,0,而且它还有积雪草 熟悉吧！！
113,0,上班惊艳所有人
89,0,纯分享噢
256,0,颜色都很百搭  谁不喜欢亮晶晶的眼影啊！
289,0,宿舍6个人点这个中了4个惊喜盒子！
255,0,尤其是关系到我们健康的私密护理呐  .
151,0,洱海の好天气 |2021牛年实用祝福语录！
215,0,打开了无酸焕肤新世界的大门  我才知道原来想要消掉闭口并不是只有酸才能干！
132,1,画的底妆是日系品牌Only Minerals 的  ??  OM防蓝光粉饼，因为要面对手机和pad所以防蓝光还是要的！
65,0,能不能睁开眼睛好好看看我们国货有多用心！
97,0,有贵妇级护肤品的同款成分，抹在发丝上简直是给头发做spa！
326,1,被化妆师朋友安利的宝藏冰川面霜????  还是跟腊梅同实验室研发的 肤感不输大牌！
239,1,即便你用了多贵的抗老精华  没有好好防晒都是白费功夫的啊[笑哭R]  夏天马上就要来了?? 防晒霜快快用起来吧  今天测评下自己在用的这四款哈?  希望对各位小仙女所有帮助
231,1,#p06酒渍车厘子  这个估计是我目前醉爱滴色系吧！
206,1,[斜眼R][斜眼R]女生的生理期真的很漫长  而且每个月的生理期，真的会让很多女生苦不堪言  除了搭配合理的饮食注意休息  以及多喝红糖水缓解经期的不适应  今天这个暖时卫生巾我还是觉得很值得一说的  我体质也不是很好，属于会痛经+宫寒的人  以前也有找过老中医调理  所以我生理期也是蛮痛苦的  [害羞R][害
43,0,新手化妆一定要选的本命散粉！
244,1,??到了之后还蛮沉的，女生如果自己安装还是有丢丢吃力的，还好有来专业的师傅进行安装~~安装之后这样看，椭圆机是不是hin高颜值鸭，精致的外观，线条流畅，宽大踏板，还是市面上流行的白色简约ins风，摆在家里也蛮时尚鸭。
290,0,快点快点  惊喜盒子
295,1,弗拉迪尔共同打造  瓶身设计就很简洁高级 有一种春天的feel  柑橘木质香调很有质感  心中无人之境 心外人山人海  看似孤独 却又温柔到刻骨  -  前调：椰子 大黄 血橙 柠檬 竹叶  中调：牡丹 小苍兰 鼠尾草茉莉 桉树  后调：香根草 降龙涎香醚 圭亚那木
102,0,眼影教程在图上哦  #日常眼妆怎么画#
107,0,Byebye啦稻草发质~姐妹们赶紧冲！
61,0,我看它可香着呢！
362,0,今天长这样，明天看情况
36,1,春意盎然的感觉  #M04 火龙果色  红红火火本色！
309,0,领取方式：  1?中奖的幸运鹅，于本篇笔记发布2天内（2021年4月23日15点前），私信@EltaMD安妍科  2?按照指引填写相关信息  PS.
310,1,加上睡眠质量问题，睡前会戴上耳机听一段asmr助眠  自从入了Sudio蓝牙耳机  我甚至把Air Pods从我的购物车删掉了  .
325,0,[买爆R][买爆R][买爆R]  但是性价比很高 平时用来两个人湿敷也不心疼，  而且我看它有烟酰胺这个成分 美白提亮的效果还很突出 主要敏感皮也可以放心用 所以我还喜欢用来妆前湿敷一点都不刺激湿敷完底妆更清透！
149,0,2??刷仙子毛要把睫毛膏刷头垂直刷，Z型刷法适合太阳花～  3??睫毛稀疏的姐妹可以试一试先上一层散粉再涂睫毛膏。
335,1,OI系列洗发水起泡丰富细腻，舒缓又治愈头皮，配合同系列护发素一起，洗后不会干涩，滋养效果可以从我头发的光泽度看得出来，尊的可以和去做salon SPA媲美了～我感觉洗完明显柔顺不少，而且头顶处不用特别做造型，比原来蓬松许多。
251,0,希望夏天来临前，即使不变成一道闪电，也能瘦个1??0??斤吧~~
299,0,每次出门都在用!  不光持妆口罩不怕脱妆 而且很轻薄也不怕闷出痘  真滴可称为绝绝子…
106,0,我这个染发党真的是爱了！
85,0,秒变立体脸！
45,0,失望R]谁说混干皮就不用定妆的！
25,0,这款自用墙裂推！
353,0,平常的好像都是按压啥的会留出来…
133,1,5??合1粉饼敲方便，涂上粉饼后，底妆也敲clean的，肤色upup！
98,0,还有高纯度的玻尿酸，可以给我们的秀发补足水分，1??分钟修护秀发损伤一点也不夸张！
270,0,嫩  才知道韩国妹妹为啥皮肤个个那么嫩！
123,0,而且！
272,0,毕竟可爱不分年龄。
144,0,步骤：  1??睫毛夹向眉毛方向平行往外蠕动夹，下睫毛也记得带上。
224,0,面霜这种厚重的就可以省去拉！
399,0,连妆前 急救补水都做的很好  敷完再上妆服帖的很  不会卡粉起皮  天天敷都没有问题！
262,1,这款涂酷恐龙蛋是一大一小的，两种形状都能够完美的贴合任何的脸型，正所谓是360度无死角上妆，所以妆容就能够更加服帖啦  而且它可是常规美妆蛋的两倍大哟，所以接触面积也更加大，平时上妆就更加省力，十秒就可以轻松的上完底妆。
31,1,??海马体新年照体验分享  牛年到了 新年安排了海马体的新年情侣照??  第一次去海马体 讲真服务真的好  有好几套衣服可以选择  这套是直男男友选的哈哈哈  技术真的赞 从化妆到细节都很爱[哇R]  准备再去拍一套俏皮的
64,0,热感是因为它牙膏中的美白因子被激活了  味道是很自然的清新薄荷香  不会辣口！
240,0,~  .
232,1,OOTD | 基础款小红裙女人味爆炸！！
300,0,一看就会黑魔法  美杜莎又来啦～
63,0,刷牙的过程热热的hin舒服！
71,0,开森
279,1,3ce新品casual afair已经快不新了  终于把这支赶出来了！！
82,1,～～～  而且这款TF奢金气垫高倍防晒，SPF45  PA++++ 随行防晒，敲方便。
361,0,冲着颜值就入的芝士酱  可以蘸很多东西吃～  最近一直在用它蘸方块包吃  太太太太好吃了！！！！
57,1,ELEMIS海洋胶原霜 这真的是一款贵妇面霜了 超级的好用 主要功效就是抗初老 给皮肤增加胶原蛋白 改善细纹 紧致肌肤 超级赞～  ELEMIS是英国本土第一贵妇品牌，追崇天然环保的理念哦~
183,0,用了一段时间我觉得去红镇静效果很好[
178,0,[
221,0,但是现在终于没这烦恼了  连我这个出油大户都能hold住的隔离！
265,0,素颜拍照也不怕‖我有祛痘印黑色素神器
31,1,原来你是这样的泡泡面膜？！
